,Unnamed: 0,title,performer,first_week,total_weeks,peak_pos,genre
78,18466,My Turn,SZA,2025-01-04,1,81,R&B
79,23652,Snowman,Sia,2025-01-04,1,43,Unknown Genre
80,10803,Holiday Road,Kesha,2025-01-04,1,88,Rock
81,10814,Holly Jolly Christmas,Michael Buble,2025-01-04,1,37,Unknown Genre
82,30492,Winter Wonderland,Darlene Love,2025-01-04,1,48,Rap/Hip Hop
83,22064,Run Rudolph Run,Mark Ambor,2025-01-04,1,78,Rock
84,1687,Another Life,SZA,2025-01-04,2,64,Rock
85,16584,Love Me 4 Me,SZA,2025-01-04,1,79,R&B
86,31245,You Make It Feel Like Christmas,Gwen Stefani Featuring Blake Shelton,2025-01-04,1,50,Unknown Genre
87,18984,No More Hiding,SZA,2025-01-04,1,69,R&B
88,29519,What Do I Do,SZA,2025-01-04,2,62,R&B
89,5841,Diamond Boy (DTM),SZA,2025-01-04,2,60,R&B
90,2025,BMF,SZA,2025-01-04,7,29,R&B
91,5276,Crybaby,SZA,2025-01-04,2,70,R&B
92,22487,Scorsese Baby Daddy,SZA,2025-01-04,5,41,R&B
93,6852,Drive,SZA,2025-01-04,4,51,Alternative
94,13646,Indigo,Sam Barber Featuring Avery Anna,2024-12-21,9,48,Country
95,30127,White Christmas,V & Bing Crosby,2024-12-21,1,93,Unknown Genre
96,28068,Toxic Till The End,ROSE,2024-12-21,1,90,Pop
97,7054,El Club,Bad Bunny,2024-12-21,7,27,Latin Music
98,21961,Rosones,Tito Double P,2024-12-21,7,76,Traditional Mexicano
99,5303,Cuffed,Juice WRLD,2024-12-14,1,95,Rap/Hip Hop
100,30128,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,2024-12-14,39,19,Unknown Genre
101,17541,Messy,Lola Young,2024-12-14,10,14,Pop
102,14638,KTM Drip,Juice WRLD,2024-12-14,1,91,Rap/Hip Hop
103,4524,Christmas Magic,Laufey,2024-12-14,4,56,Pop
104,30489,Winter Ahead,V With Park Hyo Shin,2024-12-14,1,99,Asian Music
105,26736,The Party Never Ends,Juice WRLD,2024-12-14,1,80,Rap/Hip Hop
106,7138,Empty Out Your Pockets,Juice WRLD,2024-12-14,5,56,Rap/Hip Hop
107,17695,Misfit,Juice WRLD,2024-12-14,1,65,Rap/Hip Hop
108,8614,Gang Baby,NLE Choppa,2024-12-07,5,82,Rap/Hip Hop
109,17207,Man At The Garden,Kendrick Lamar,2024-12-07,4,9,Rap/Hip Hop
110,20326,Peekaboo,Kendrick Lamar Featuring AzChike,2024-12-07,11,13,Rap/Hip Hop
111,10531,Hey Now,Kendrick Lamar Featuring Dody6,2024-12-07,11,5,Rap/Hip Hop
112,27098,The Wizard And I,Cynthia Erivo Featuring Michelle Yeoh,2024-12-07,2,92,Films/Games
113,6185,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch",2024-12-07,5,11,Rap/Hip Hop
114,10156,Heart Pt. 6,Kendrick Lamar,2024-12-07,4,14,Rap/Hip Hop
115,13000,I'm Not That Girl,Cynthia Erivo,2024-12-07,2,94,Films/Games
116,20729,Popular,Ariana Grande,2024-12-07,9,53,Films/Games
117,16939,Luther,Kendrick Lamar & SZA,2024-12-07,11,3,Rap/Hip Hop
118,9097,Gloria,Kendrick Lamar & SZA,2024-12-07,4,27,Rap/Hip Hop
119,19018,No One Mourns The Wicked,"Ariana Grande Featuring Andy Nyman, Courtney-Mae Briggs, Jeff Goldblum, Sharon D. Clarke & Jenna Boyd",2024-12-07,2,86,Films/Games
120,24292,Squabble Up,Kendrick Lamar,2024-12-07,11,1,Rap/Hip Hop
121,5736,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,2024-12-07,10,44,Films/Games
122,10329,Hello Miss Johnson,Jack Harlow,2024-12-07,1,85,Rap/Hip Hop
123,25316,TV Off,Kendrick Lamar Featuring Lefty Gunplay,2024-12-07,11,2,Rap/Hip Hop
124,21419,Reincarnated,Kendrick Lamar,2024-12-07,4,8,Rap/Hip Hop
125,29583,What Is This Feeling?,Ariana Grande & Cynthia Erivo,2024-12-07,5,62,Films/Games
126,15367,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2024-12-07,36,8,Classical
127,5495,Dancing Through Life,"Jonathan Bailey Featuring Ariana Grande, Ethan Slater, Marissa Bode & Cynthia Erivo",2024-12-07,2,86,Films/Games
128,28873,Wacced Out Murals,Kendrick Lamar,2024-12-07,6,4,Rap/Hip Hop
129,16973,Ma Meilleure Ennemie,Stromae & Pomme,2024-12-07,2,69,Pop
130,8590,GNX,"Kendrick Lamar Featuring Hitta J3, YoungThreat & Peysoh",2024-12-07,3,24,Rap/Hip Hop
131,22503,Se Fue,Rauw Alejandro & Laura Pausini,2024-11-30,1,82,Rap/Hip Hop
132,9370,Good News,Shaboozey,2024-11-30,11,47,Country
133,21530,Revolu,Rauw Alejandro & Feid,2024-11-30,1,88,Rap/Hip Hop
134,5746,Dejame Entrar,Rauw Alejandro,2024-11-30,1,96,Rap/Hip Hop
135,820,AGATS2 (Insecure),Juice WRLD & Nicki Minaj,2024-11-30,2,68,Rap/Hip Hop
136,13675,Insecurities,Lil Baby,2024-11-30,2,56,Rap/Hip Hop
137,14768,Khe?,Rauw Alejandro & Romeo Santos,2024-11-30,8,60,Rap/Hip Hop
138,22145,Running Wild,JIN,2024-11-30,1,53,Asian Music
139,330,2 Hands,Tate McRae,2024-11-30,2,41,Pop
140,21079,Que Pasaria...,Rauw Alejandro & Bad Bunny,2024-11-30,12,34,Rap/Hip Hop
141,28266,Tu Con El,Rauw Alejandro,2024-11-30,1,69,Rap/Hip Hop
142,18610,Neon Moon,Brooks & Dunn With Morgan Wallen,2024-11-30,1,97,Country
143,26486,The Largest,BigXthaPlug,2024-11-23,6,71,Rap/Hip Hop
144,432,4x4xU,Lainey Wilson,2024-11-23,13,45,Country
145,11314,I Ain't Sayin',Jordan Davis,2024-11-23,7,59,Country
146,27531,This World's A Giant,Zach Bryan,2024-11-23,1,49,Country
147,5186,Criminals,Meghan Trainor,2024-11-23,1,100,Pop
148,9902,Hard Fought Hallelujah,Brandon Lake,2024-11-23,1,51,Christian
149,8184,For Me,Loe Shimmy & Brent Faiyaz,2024-11-23,1,78,Rap/Hip Hop
150,258,+57,"Karol G, Feid & DFZM Featuring Ovy On The Drums, J Balvin, Maluma, Ryan Castro & Blessd",2024-11-23,1,62,Traditional Mexicano
151,10618,High Road,Zach Bryan,2024-11-23,5,29,Country
152,3657,Brokey,Latto,2024-11-16,4,84,Rap/Hip Hop
153,29254,We Good,Lil Uzi Vert,2024-11-16,1,82,Rap/Hip Hop
154,4476,Chill Bae,Lil Uzi Vert,2024-11-16,1,48,Rap/Hip Hop
155,15709,Light Year (Practice),Lil Uzi Vert,2024-11-16,1,54,Rap/Hip Hop
156,22294,Sao Paulo,The Weeknd & Anitta,2024-11-16,2,43,R&B
157,25454,Take Your Mask Off,"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams",2024-11-09,3,42,Rap/Hip Hop
158,10499,Hey Jane,"Tyler, The Creator",2024-11-09,2,33,Rap/Hip Hop
159,2962,Bigger In Texas,Megan Thee Stallion,2024-11-09,1,84,Rap/Hip Hop
160,2413,Balloon,"Tyler, The Creator Featuring Doechii",2024-11-09,4,56,Rap/Hip Hop
161,24298,St. Chroma,"Tyler, The Creator Featuring Daniel Caesar",2024-11-09,9,7,Rap/Hip Hop
162,27549,Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold",2024-11-09,4,32,Rap/Hip Hop
163,27849,Tomorrow,"Tyler, The Creator",2024-11-09,2,53,Rock
164,11897,I Hope You Find Your Way Home,"Tyler, The Creator",2024-11-09,2,65,Rap/Hip Hop
165,24548,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",2024-11-09,15,10,Rap/Hip Hop
166,15753,Like Him,"Tyler, The Creator Featuring Lola Young",2024-11-09,15,29,Rap/Hip Hop
167,19033,No Pole,Don Toliver,2024-11-09,14,66,Rap/Hip Hop
168,5574,"Darling, I","Tyler, The Creator Featuring Teezo Touchdown",2024-11-09,5,15,Rap/Hip Hop
169,21153,Rah Tah Tah,"Tyler, The Creator",2024-11-09,4,16,Rap/Hip Hop
170,11932,I Killed You,"Tyler, The Creator",2024-11-09,2,46,Rap/Hip Hop
171,5999,Disease,Lady Gaga,2024-11-09,8,27,Pop
172,10143,Heart Of A Woman,Summer Walker,2024-11-09,15,57,R&B
173,14382,Judge Judy,"Tyler, The Creator",2024-11-09,3,40,Rap/Hip Hop
174,28265,Tu Boda,Oscar Maydon & Fuerza Regida,2024-11-02,16,22,Traditional Mexicano
175,826,APT.,ROSE & Bruno Mars,2024-11-02,16,3,Pop
176,25911,That's So True,Gracie Abrams,2024-11-02,16,6,Pop
177,10653,Him All Along,Gunna,2024-11-02,5,58,Rap/Hip Hop
178,19130,Noid,"Tyler, The Creator",2024-11-02,5,10,Rap/Hip Hop
179,16692,Love Somebody,Morgan Wallen,2024-11-02,16,1,Country
180,2240,Back On My BS,BigXthaPlug,2024-11-02,1,95,Rap/Hip Hop
181,372,2AM,BigXthaPlug,2024-11-02,3,64,Rap/Hip Hop
182,364,25,Rod Wave,2024-10-26,14,16,Rap/Hip Hop
183,4342,Change Me,BigXthaPlug,2024-10-26,4,79,Rap/Hip Hop
184,25286,Sympathy Is A Knife,Charli xcx Featuring Ariana Grande,2024-10-26,2,36,Electro
185,7511,F**k Fame,Rod Wave Featuring Lil Yachty & Lil Baby,2024-10-26,1,50,Rap/Hip Hop
186,5342,D.A.R.E.,Rod Wave,2024-10-26,1,95,Rap/Hip Hop
187,18704,Never Mind,Rod Wave,2024-10-26,1,54,Pop
188,7741,Federal Nightmares,Rod Wave,2024-10-26,2,44,Rap/Hip Hop
189,12102,I Luv Her,GloRilla & T-Pain,2024-10-26,7,70,Rap/Hip Hop
190,16340,Lost In Love,Rod Wave & Be Charlotte,2024-10-26,1,87,Electro
191,1637,Angel With An Attitude,Rod Wave,2024-10-26,2,46,Rap/Hip Hop
192,17632,Mike,Rod Wave,2024-10-26,1,94,Singer & Songwriter
193,11144,How I Look,GloRilla & Megan Thee Stallion,2024-10-26,1,90,Rap/Hip Hop
194,26043,The Best,Rod Wave,2024-10-26,1,75,Pop
195,15261,Leave Me Alone,BigXthaPlug,2024-10-26,2,96,Rap/Hip Hop
196,15133,Last Lap,Rod Wave,2024-10-26,2,35,Rap/Hip Hop
197,22458,Scared Love,Rod Wave,2024-10-26,1,96,Rap/Hip Hop
198,28897,Waited 2 Late,Rod Wave,2024-10-26,1,93,Rap/Hip Hop
199,28353,Turtle Race,Rod Wave,2024-10-26,1,57,Rap/Hip Hop
200,29756,Whatchu Kno About Me,GloRilla & Sexyy Red,2024-10-26,17,17,Rap/Hip Hop
201,14660,Karma,Rod Wave,2024-10-26,1,100,Alternative
202,1809,Apply Pressure,Rod Wave,2024-10-26,1,63,Rap/Hip Hop
203,7240,Even Love,Rod Wave,2024-10-26,1,82,Rap/Hip Hop
204,17243,Mantra,Jennie,2024-10-26,2,98,Asian Music
205,18754,New Drop,Don Toliver,2024-10-19,6,81,Rap/Hip Hop
206,7992,Fix What You Didn't Break,Nate Smith,2024-10-19,1,88,Country
207,27316,Thick Of It,KSI Featuring Trippie Redd,2024-10-19,4,64,Pop
208,29295,We Pray,"Coldplay Featuring Little Simz, Burna Boy, Elyanna & TINI",2024-10-19,1,87,Alternative
209,7060,El Lokeron,Tito Double P,2024-10-12,8,73,Traditional Mexicano
210,3166,Blow For Blow,Tee Grizzley & J. Cole,2024-10-12,1,88,Rap/Hip Hop
211,27726,Timeless,The Weeknd & Playboi Carti,2024-10-12,19,3,R&B
212,12902,I'm Gonna Love You,Cody Johnson & Carrie Underwood,2024-10-12,19,40,Country
213,27445,This Is My Dirt,Justin Moore,2024-10-12,2,96,Country
214,19019,No One Noticed,The Marias,2024-10-12,19,22,Alternative
215,19927,Or What?,NLE Choppa & 41,2024-10-12,7,52,Rap/Hip Hop
216,14732,Keep Up,Odetari,2024-10-12,1,96,Dance
217,10280,Heavy Is The Crown,Linkin Park,2024-10-12,1,79,Alternative
218,7596,Fall Fast In Love,Rod Wave,2024-10-12,4,49,Rap/Hip Hop
219,21278,Ready To Cook Up,Future,2024-10-05,1,42,Rap/Hip Hop
220,10810,Hollon,GloRilla,2024-10-05,7,48,Rap/Hip Hop
221,23427,Ski,Future,2024-10-05,3,26,Rock
222,27834,Told My,Future,2024-10-05,1,81,Rap/Hip Hop
223,20829,Press The Button,Future,2024-10-05,1,61,Rap/Hip Hop
224,3485,Brazzier,Future,2024-10-05,1,59,Rap/Hip Hop
225,15795,Lil Demon,Future,2024-10-05,5,25,Rap/Hip Hop
226,25629,Teflon Don,Future,2024-10-05,3,21,Rap/Hip Hop
227,16352,Lost My Dog,Future,2024-10-05,1,83,Rap/Hip Hop
228,19338,Oath,Future,2024-10-05,1,70,Rap/Hip Hop
229,3746,Burning Down,Alex Warren,2024-10-05,9,69,Pop
230,28506,Una Velita,Bad Bunny,2024-10-05,1,79,Dance
231,27916,Too Fast,Future,2024-10-05,3,23,Rap/Hip Hop
232,1998,Aye Say Gang,Future,2024-10-05,1,80,Rap/Hip Hop
233,20634,Plutoski,Future,2024-10-05,3,29,Rap/Hip Hop
234,17006,Made My Hoe Faint,Future,2024-10-05,1,85,Rap/Hip Hop
235,16965,MJ,Future,2024-10-05,1,68,Rap/Hip Hop
236,22772,Shake Dat Ass (Twerk Song),BossMan Dlow,2024-10-05,14,54,Rap/Hip Hop
237,25096,Surfing A Tsunami,Future,2024-10-05,1,63,Rap/Hip Hop
238,19350,Ocean,Future,2024-10-05,1,46,Alternative
239,24158,South Of France,Future,2024-10-05,2,57,Rap/Hip Hop
240,14070,It's Ok I'm Ok,Tate McRae,2024-09-28,20,20,Pop
241,1271,All Red,Playboi Carti,2024-09-28,4,15,Rap/Hip Hop
242,25491,Talk Talk,Charli xcx Featuring Troye Sivan,2024-09-28,1,74,Rock
243,2328,Bad Dreams,Teddy Swims,2024-09-28,10,42,Pop
244,20265,Passport Junkie,Rod Wave,2024-09-28,6,51,Rap/Hip Hop
245,12188,I Never Lie,Zach Top,2024-09-28,20,38,Country
246,5480,Dancing In The Flames,The Weeknd,2024-09-28,18,14,R&B
247,30761,Worst Way,Riley Green,2024-09-28,4,91,Country
248,22014,Ruby Rosary,A$AP Rocky Featuring J. Cole,2024-09-21,1,85,Rap/Hip Hop
249,5921,Diet Pepsi,Addison Rae,2024-09-21,19,54,Pop
250,6662,Dos Dias,Tito Double P & Peso Pluma,2024-09-21,20,51,Traditional Mexicano
251,5986,Disco,Surf Curse,2024-09-21,1,91,Alternative
252,26256,The Emptiness Machine,Linkin Park,2024-09-21,7,21,Alternative
253,2103,Baby I'm Back,The Kid LAROI,2024-09-21,2,89,Pop
254,18619,Neva Play,Megan Thee Stallion & RM,2024-09-21,2,36,Rap/Hip Hop
255,22771,Shake Dat Ass (Twerk Song),BossMan DLow,2024-09-21,2,82,Rap/Hip Hop
256,16761,Love You Again,Chase Matthew,2024-09-14,1,91,Country
257,31610,Young Love & Saturday Nights,Chris Young,2024-09-14,1,94,R&B
258,4561,Circadian Rhythm,Drake,2024-09-14,4,59,Rap/Hip Hop
259,24091,Sorry Not Sorry,Lil Yachty & Veeze,2024-09-14,1,99,Pop
260,5132,Crazy,LE SSERAFIM,2024-09-14,2,76,Pop
261,25322,Tailor Swif,A$AP Rocky,2024-09-14,1,84,Rap/Hip Hop
262,18924,No Face,Drake,2024-09-14,3,60,Rap/Hip Hop
263,14450,Juno,Sabrina Carpenter,2024-09-07,16,22,Pop
264,15632,Lie To Girls,Sabrina Carpenter,2024-09-07,2,41,Pop
265,25543,Taste,Sabrina Carpenter,2024-09-07,24,2,Pop
266,6506,Don't Smile,Sabrina Carpenter,2024-09-07,3,35,Pop
267,6920,Dumb & Poetic,Sabrina Carpenter,2024-09-07,3,32,Alternative
268,6885,Drugs You Should Try It,Travis Scott,2024-09-07,1,66,Rap/Hip Hop
269,22859,Sharpest Tool,Sabrina Carpenter,2024-09-07,7,21,Pop
270,4686,Coincidence,Sabrina Carpenter,2024-09-07,7,26,Pop
271,23490,Slim Pickins,Sabrina Carpenter,2024-09-07,5,27,Pop
272,2660,Bed Chem,Sabrina Carpenter,2024-09-07,24,14,Pop
273,9335,Good Graces,Sabrina Carpenter,2024-09-07,13,15,Pop
274,17724,Missin' You Like This,Post Malone Featuring Luke Combs,2024-08-31,1,63,Country
275,7901,Finer Things,Post Malone Featuring Hank Williams Jr.,2024-08-31,1,42,Country
276,18787,New Woman,LISA Featuring Rosalia,2024-08-31,1,97,Asian Music
277,30806,Wrong Ones,Post Malone Featuring Tim McGraw,2024-08-31,3,23,Country
278,31701,Yours,Post Malone,2024-08-31,1,54,Asian Music
279,9205,Goes Without Saying,Post Malone Featuring Brad Paisley,2024-08-31,1,60,Country
280,29533,What Don't Belong To Me,Post Malone,2024-08-31,2,40,Country
281,16309,Losers,Post Malone Featuring Jelly Roll,2024-08-31,5,25,Country
282,3897,California Sober,Post Malone Featuring Chris Stapleton,2024-08-31,3,34,Country
283,21622,Right About You,Post Malone,2024-08-31,1,88,Country
284,16952,M-E-X-I-C-O,Post Malone Featuring Billy Strings,2024-08-31,1,83,Country
285,5915,Die With A Smile,Lady Gaga & Bruno Mars,2024-08-31,25,1,Pop
286,10589,Hide My Gun,Post Malone Featuring HARDY,2024-08-31,1,65,Country
287,18702,Never Love You Again,Post Malone Featuring Sierra Ferrell,2024-08-31,1,78,Country
288,19148,Nosedive,Post Malone Featuring Lainey Wilson,2024-08-31,2,50,Country
289,9986,Have The Heart,Post Malone Featuring Dolly Parton,2024-08-31,1,56,Country
290,22229,Sailor Song,Gigi Perez,2024-08-31,25,22,Pop
291,5816,Devil I've Been,Post Malone Featuring ERNEST,2024-08-31,1,66,Country
292,20862,Pretty Slowly,Benson Boone,2024-08-31,3,86,Pop
293,2927,Big Mama,Latto,2024-08-24,1,92,Rap/Hip Hop
294,7253,Evergreen,Richy Mitch And The Coal Miners,2024-08-24,2,83,Folk
295,3194,Blue Green Red,Drake,2024-08-24,1,63,Rap/Hip Hop
296,23024,She's Somebody's Daughter (Reimagined),Drew Baldridge,2024-08-24,3,93,Country
297,14129,It's Up,"Drake, Young Thug & 21 Savage",2024-08-24,5,28,Rap/Hip Hop
298,30343,Why Why Why,Shawn Mendes,2024-08-24,1,84,Pop
299,6670,Double Life,Pharrell Williams,2024-08-24,1,89,Pop
300,11053,Housekeeping Knows,Drake Featuring Latto,2024-08-24,1,85,Rap/Hip Hop
301,21500,Residuals,Chris Brown,2024-08-24,22,40,R&B
302,7851,Field Trip,"¥$: Kanye West & Ty Dolla $ign Featuring Playboi Carti, Kodak Black & Don Toliver",2024-08-17,2,48,Rap/Hip Hop
303,12094,"I Love You, I'm Sorry",Gracie Abrams,2024-08-17,21,19,Pop
304,1804,Apple,Charli xcx,2024-08-17,20,51,Pop
305,399,360,Charli xcx,2024-08-17,20,41,Electro
306,1476,Am I Okay?,Megan Moroney,2024-08-17,22,59,Country
307,5960,Dirty,Jessie Murph With Teddy Swims,2024-08-17,1,79,Rock
308,16779,"Love You, Miss You, Mean It",Luke Bryan,2024-08-17,10,39,Country
309,8435,Fried,¥$: Kanye West & Ty Dolla $ign,2024-08-17,1,87,Rap/Hip Hop
310,15619,Liar,Jelly Roll,2024-08-17,19,38,Country
311,20936,Promotion,¥$: Kanye West & Ty Dolla $ign Featuring Future,2024-08-17,1,76,Rap/Hip Hop
312,23486,Slide,¥$: Kanye West & Ty Dolla $ign,2024-08-17,1,88,Electro
313,3833,Bye Bye Bye,*NSYNC,2024-08-17,24,45,Dance
314,10639,Highjack,A$AP Rocky Featuring Jessica Pratt,2024-08-17,1,89,Rap/Hip Hop
315,9667,Guess,Charli xcx Featuring Billie Eilish,2024-08-17,12,12,Dance
316,18334,My Kink Is Karma,Chappell Roan,2024-08-17,5,81,Pop
317,9691,Guy For That,Post Malone Featuring Luke Combs,2024-08-10,25,17,Country
318,29045,Wanna Be Loved,The Red Clay Strays,2024-08-10,1,100,Country
319,16904,Lucky,Halsey,2024-08-10,1,88,Pop
320,9953,Hate Me,Lil Yachty & ian,2024-08-10,2,68,Pop
321,16125,Lonely Road,mgk & Jelly Roll,2024-08-10,16,33,Alternative
322,15812,Linger,Royel Otis,2024-08-10,1,94,Rock
323,2907,Big Dawgs,Hanumankind X Kalmi,2024-08-10,13,23,Rap/Hip Hop
324,18603,Nel,Fuerza Regida,2024-08-10,14,70,Traditional Mexicano
325,10353,Help Me,Real Boston Richey,2024-08-03,29,47,Rap/Hip Hop
326,1092,Alibi,"Sevdaliza, Pabllo Vittar & Yseult",2024-08-03,4,95,Reggaeton
327,30153,Who,Jimin,2024-08-03,28,12,Asian Music
328,1803,Apple,Charli XCX,2024-08-03,2,66,Pop
329,7833,Femininomenon,Chappell Roan,2024-08-03,9,66,Pop
330,4501,Chk Chk Boom,Stray Kids,2024-08-03,1,49,Asian Music
331,17723,Misses,Dominic Fike,2024-08-03,2,99,Alternative
332,23853,Somebody Save Me,Eminem & Jelly Roll,2024-07-27,3,27,Rap/Hip Hop
333,7463,Evil,Eminem,2024-07-27,1,30,Alternative
334,2357,Bad One,Eminem & White Gold,2024-07-27,1,69,Rap/Hip Hop
335,10089,Head Honcho,Eminem & Ez Mil,2024-07-27,1,72,Rap/Hip Hop
